candidate_id,num_dof_completed,period_pass_count,max_period_error_pct,all_six_period_under_limit,start_amplitude_pass_count,max_start_amplitude_error,all_six_start_amplitude_under_limit,j_total,j_shape_total,start_amplitude_error_total,score_total,rank,decision,reason
BQIC_SURGE_0611154707_F100_I110,1,0,5.6925833,false,0,,false,0.053463913,1.1615636,0,0.053463913,72,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SWAY_TTDSS_N1_07040323,1,0,5.261936,false,1,0.023024639,false,0.048466399,1.0445479,0.023024639,0.054222559,73,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
SURGE_IC2032_AF0_N50K_FULL_0706,1,0,5.9644419,false,1,0.056152154,false,0.040337394,1.0167893,0.056152154,0.054375433,74,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SWAY_AF0_N50K_BQ103X_FULL_0706,1,0,6.7285792,false,1,0.044599898,false,0.043376697,0.97090984,0.044599898,0.054526671,75,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
BQIC_SWAY_0704075513_F100_I082,1,1,2.1729321,false,1,0.016882971,false,0.050525651,1.2035398,0.016882971,0.054746394,76,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
BQIC_SURGE_0704062039_F103_I074,1,0,4.4749284,false,1,0.10852298,false,0.02778397,0.6364524,0.10852298,0.054914715,77,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SWAY_TTDSS_N22_07040812,1,0,4.9009847,false,1,0.01931846,false,0.050301448,1.1758303,0.01931846,0.055131063,78,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
YAW_EQIC87_CL105_BL100_0704230212,1,1,1.8643176,false,1,0.13290159,false,0.022013951,0.47545593,0.13290159,0.055239348,79,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY"
BQIC_HEAVE_0704040637_F100_I054,1,1,0.77118849,false,1,0.13024485,false,0.02312193,0.22512211,0.13024485,0.055683142,80,HOLD,"missing/failed DOFs: FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY,FD_YAW"
BQIC_SURGE_0612122849_F125_I090,1,0,3.3482606,false,0,,false,0.055767009,0.97313768,0,0.055767009,81,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SURGE_IC2032_FULL_0706,1,1,1.0105741,false,1,0.072046772,false,0.038302618,0.85087946,0.072046772,0.056314311,82,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SWAY_CLN14K_0705243600,1,0,8.1868779,false,1,0.027855909,false,0.049404372,1.1541833,0.027855909,0.056368349,83,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
BQIC_SWAY_0617142124_F100_I076,1,1,2.2958713,false,1,0.092118412,false,0.033658921,0.58623007,0.092118412,0.056688524,84,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
BQIC_SWAY_0704014701_F100_I076,1,1,2.2958713,false,1,0.092118412,false,0.033658921,0.58623007,0.092118412,0.056688524,85,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
BQIC_SWAY_0703140207_F120_I100,1,0,6.0256583,false,1,0.021502459,false,0.051508215,1.1629693,0.021502459,0.05688383,86,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
SURGE_AF0_N190K_IC178_M105B_BQ080_T600_0706,1,1,2.9028048,false,1,0.10512007,false,0.03067862,0.62639304,0.10512007,0.056958637,87,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SWAY_0704041752_F095_I100,1,0,5.2650348,false,1,0.032488633,false,0.048842135,1.1545583,0.032488633,0.056964293,88,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
SURGE_AF0_N190K_IC178_M105B_BQ079_T600_0706,1,1,0.28945665,false,1,0.10654154,false,0.030759186,0.69975782,0.10654154,0.057394571,89,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SURGE_0612122849_F075_I090,1,0,7.5955935,false,0,,false,0.057496733,1.1884242,0,0.057496733,90,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SURGE_SG1019_BL420_07040900,1,1,0.96291802,false,1,0.10766149,false,0.030825355,0.77371976,0.10766149,0.057740727,91,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SURGE_0704062039_F102_I074,1,0,3.4260667,false,1,0.11183975,false,0.029907963,0.73403417,0.11183975,0.0578679,92,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
