decision_id,dof,parent_candidate_id,status,fix_path,selected_candidate_id,R,K_ratio,clin,bquad,bmult,moor_json,conv_json,fork_reason,notes,created_time
DEC_BQIC_SURGE_0704055611,FD_SURGE,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SURGE_0704055611_F105_I074,,,,1050000.0,1.05,{},"{""period_error_pct"":7.664736,""nrmse"":0.029763991,""zeta"":0.011484493,""reference_zeta"":0.020242479,""env_err"":0.2924797,""LER_err"":0.56242878,""fp_err"":0.12453932,""period_ok"":false,""env_ok"":true,""ler_ok"":false,""fp_ok"":false}",morphology-targets-not-all-closed,reference_signed IC -17.1794 (scale 0.74); BQuad 1e+06 x 1.05; score 1.20342,2026-07-04T06:20:12+00:00
DEC_BQIC_SURGE_0704062039,FD_SURGE,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SURGE_0704062039_F102_I074,,,,1020000.0,1.02,{},"{""period_error_pct"":3.4260667,""nrmse"":0.029907963,""zeta"":0.0097657707,""reference_zeta"":0.020242479,""env_err"":0.30765155,""LER_err"":0.40195186,""fp_err"":0.12374664,""period_ok"":false,""env_ok"":true,""ler_ok"":true,""fp_ok"":false}",morphology-targets-not-all-closed,reference_signed IC -17.1794 (scale 0.74); BQuad 1e+06 x 1.02; score 0.212079,2026-07-04T06:44:40+00:00
DEC_BQIC_SURGE_0704064505,FD_SURGE,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SURGE_0704064505_F102_I074,,,,1018000.0,1.018,{},"{""period_error_pct"":2.0547125,""nrmse"":0.026511633,""zeta"":0.012718487,""reference_zeta"":0.020242479,""env_err"":0.29145889,""LER_err"":2.0408424,""fp_err"":0.061696324,""period_ok"":true,""env_ok"":true,""ler_ok"":false,""fp_ok"":true}",morphology-targets-not-all-closed,reference_signed IC -17.1794 (scale 0.74); BQuad 1e+06 x 1.02; score 0.391945,2026-07-04T06:53:05+00:00
DEC_BQIC_SURGE_0704065321,FD_SURGE,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SURGE_0704065321_F102_I074,,,,1018999.9999999999,1.019,{},"{""period_error_pct"":0.79980286,""nrmse"":0.02585608,""zeta"":0.010516883,""reference_zeta"":0.020242479,""env_err"":0.31501947,""LER_err"":0.65915276,""fp_err"":0.066272776,""period_ok"":true,""env_ok"":true,""ler_ok"":false,""fp_ok"":true}",morphology-targets-not-all-closed,reference_signed IC -17.1794 (scale 0.74); BQuad 1e+06 x 1.02; score 0.122734,2026-07-04T07:01:23+00:00
DEC_BQIC_SURGE_0704070142,FD_SURGE,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SURGE_0704070142_F102_I074,,,,1019500.0000000001,1.0195,{},"{""period_error_pct"":3.1176492,""nrmse"":0.032112687,""zeta"":0.010018456,""reference_zeta"":0.020242479,""env_err"":0.33021345,""LER_err"":1.5559135,""fp_err"":0.08946238,""period_ok"":false,""env_ok"":true,""ler_ok"":false,""fp_ok"":true}",morphology-targets-not-all-closed,reference_signed IC -17.1794 (scale 0.74); BQuad 1e+06 x 1.02; score 0.348549,2026-07-04T07:09:43+00:00
DEC_BQIC_SURGE_0704074649,FD_SURGE,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SURGE_0704074649_F102_I073,,,,1018999.9999999999,1.019,{},"{""period_error_pct"":7.9946436,""nrmse"":0.027828292,""zeta"":0.01119918,""reference_zeta"":0.020242479,""env_err"":0.30368238,""LER_err"":0.41768239,""fp_err"":0.11246718,""period_ok"":false,""env_ok"":true,""ler_ok"":true,""fp_ok"":true}",morphology-targets-not-all-closed,reference_signed IC -16.9472 (scale 0.73); BQuad 1e+06 x 1.02; score 1.25855,2026-07-04T07:54:53+00:00
DEC_BQIC_SWAY_0704075513,FD_SWAY,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,CONVERGED,signed_ic_bquad,BQIC_SWAY_0704075513_F100_I082,,,,1125000.0,1.0,{},"{""period_error_pct"":2.1729321,""nrmse"":0.050525651,""zeta"":0.013347054,""reference_zeta"":0.023182848,""env_err"":0.29808854,""LER_err"":0.0043195474,""fp_err"":0.073888756,""period_ok"":true,""env_ok"":true,""ler_ok"":true,""fp_ok"":true}",,reference_signed IC -12.3901 (scale 0.82); BQuad 1.125e+06 x 1; score 0.144644,2026-07-04T08:11:21+00:00
DEC_BQIC_ROLL_0704103753,FD_ROLL,AMP_SH_H054_SWTTD_Y15052_07041000,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_ROLL_0704103753_F090_I100,,,,78165000000.0,0.9,{},"{""period_error_pct"":1.6217862,""nrmse"":0.042897686,""zeta"":0.027313018,""reference_zeta"":0.02049542,""env_err"":0.17663324,""LER_err"":0.37653746,""fp_err"":0.24441279,""period_ok"":true,""env_ok"":true,""ler_ok"":true,""fp_ok"":false}",morphology-targets-not-all-closed,parent_signed IC 16.8907 (scale 1); BQuad 8.685e+10 x 0.9; score 0.271578,2026-07-04T10:42:33+00:00
DEC_BQIC_SURGE_0704123214,FD_SURGE,AMP_SH_HAF15_Y15052_R8715_07041136,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SURGE_0704123214_F098_I072,,,,980000.0,0.98,{},"{""period_error_pct"":1.7689399,""nrmse"":0.031796636,""zeta"":0.010794379,""reference_zeta"":0.020242479,""env_err"":0.30110899,""LER_err"":1.8091744,""fp_err"":0.10013453,""period_ok"":true,""env_ok"":true,""ler_ok"":false,""fp_ok"":true}",morphology-targets-not-all-closed,reference_signed IC -16.7151 (scale 0.72); BQuad 1e+06 x 0.98; score 0.368476,2026-07-04T12:40:11+00:00
DEC_SURGE_20260704T140534Z0000,FD_SURGE,STARTING_MODEL,DIAGNOSTIC-FORK,,PHYS_SURGE_BASE_40534Z0000,0.018495802049961704,,,,,{},{},energy-leak:Pitch,model leak 0.575; reference 0.107,2026-07-04T14:10:25+00:00
