time,run_id,candidate_id,dof,event,pid,status,notes
2026-06-11T12:35:30+00:00,RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,FD_ROLL,start,,RUNNING,
2026-06-11T12:45:59+00:00,RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,FD_ROLL,end,293976,SUCCESS,
2026-06-11T12:46:00+00:00,RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,FD_PITCH,start,,RUNNING,
2026-06-11T12:56:25+00:00,RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,FD_PITCH,end,396296,SUCCESS,
2026-06-11T12:56:26+00:00,RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,FD_YAW,start,,RUNNING,
2026-06-11T13:07:41+00:00,RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,FD_YAW,end,168884,SUCCESS,
2026-06-11T13:09:52+00:00,RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,FD_SURGE,start,,RUNNING,
2026-06-11T13:20:40+00:00,RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,FD_SURGE,end,184932,SUCCESS,
2026-06-11T13:53:33+00:00,RUN_0001_FD_SURGE_BQIC_SURGE_0611135333_F100,BQIC_SURGE_0611135333_F100,FD_SURGE,start,,RUNNING,
2026-06-11T14:03:48+00:00,RUN_0001_FD_SURGE_BQIC_SURGE_0611135333_F100,BQIC_SURGE_0611135333_F100,FD_SURGE,end,357064,SUCCESS,TMax=900; ElastoDyn initial_conditions; HydroDyn edits=1
2026-06-11T14:03:49+00:00,RUN_0001_FD_SURGE_BQIC_SURGE_0611135333_F150,BQIC_SURGE_0611135333_F150,FD_SURGE,start,,RUNNING,
2026-06-11T14:14:59+00:00,RUN_0001_FD_SURGE_BQIC_SURGE_0611135333_F150,BQIC_SURGE_0611135333_F150,FD_SURGE,end,468356,SUCCESS,TMax=900; ElastoDyn initial_conditions; HydroDyn edits=1
2026-06-11T14:14:59+00:00,RUN_0001_FD_SURGE_BQIC_SURGE_0611135333_F200,BQIC_SURGE_0611135333_F200,FD_SURGE,start,,RUNNING,
2026-06-11T14:24:03+00:00,RUN_0001_FD_SURGE_BQIC_SURGE_0611135333_F200,BQIC_SURGE_0611135333_F200,FD_SURGE,end,87360,FAILED,TMax=900; ElastoDyn initial_conditions; HydroDyn edits=1
2026-06-11T14:25:01+00:00,RUN_0001_FD_SURGE_BQIC_SURGE_0611142500_F100,BQIC_SURGE_0611142500_F100,FD_SURGE,start,,RUNNING,
2026-06-11T14:36:46+00:00,RUN_0001_FD_SURGE_BQIC_SURGE_0611142500_F100,BQIC_SURGE_0611142500_F100,FD_SURGE,end,18968,SUCCESS,TMax=900; ElastoDyn initial_conditions; HydroDyn edits=1
