candidate_id,baseline_candidate_id,candidate_parent_id,lineage_status,target_dofs,decision,improved_targets,regressed_targets,unchanged_targets,reason
HEAVE095_ROLL090_CMP_0612144710,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,"FD_HEAVE,FD_ROLL",OBJECTIVE_REVIEW_PASS,"FD_HEAVE,FD_ROLL",,,"all target DOFs improved: FD_HEAVE,FD_ROLL"
BQIC_HEAVE_0612143402_F100_I060,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_HEAVE,OBJECTIVE_REVIEW_PASS,FD_HEAVE,,,all target DOFs improved: FD_HEAVE
HEAVE060_ROLL090_CMP_06171530,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,"FD_HEAVE,FD_ROLL",OBJECTIVE_REVIEW_PASS,"FD_HEAVE,FD_ROLL",,,"all target DOFs improved: FD_HEAVE,FD_ROLL"
BQIC_SWAY_0612142322_F100_I080,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_SWAY,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SWAY,,regressed/mixed: FD_SWAY
BQIC_SWAY_0617133851_F100_I075,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_SWAY,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SWAY,,regressed/mixed: FD_SWAY
BQIC_SWAY_0617133851_F100_I078,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_SWAY,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SWAY,,regressed/mixed: FD_SWAY
BQIC_SWAY_0617133851_F100_I070,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_SWAY,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SWAY,,regressed/mixed: FD_SWAY
BQIC_SWAY_0617142124_F100_I080,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_SWAY,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SWAY,,regressed/mixed: FD_SWAY
BQIC_SWAY_0617142124_F100_I082,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_SWAY,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SWAY,,regressed/mixed: FD_SWAY
BQIC_SWAY_0617142124_F100_I078,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_SWAY,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SWAY,,regressed/mixed: FD_SWAY
SURGE_IC70_EA118,AMP_SH_06121500,AMP_SH_06121500,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
AMP_SH_SY_ROLL090_06171518,AMP_SH_SY_06172058,AMP_SH_SY_06172058,same_parent,FD_ROLL,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_ROLL,,regressed/mixed: FD_ROLL
AMP_SH_SY_06172058,AMP_SH_06121500,AMP_SH_06121500,same_parent,FD_HEAVE,HOLD_OBJECTIVE_NOT_IMPROVED,,,FD_HEAVE,unchanged: FD_HEAVE
AMP_SH_S_BASEYAW_06171610,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_YAW,HOLD_OBJECTIVE_NOT_IMPROVED,,,FD_YAW,unchanged: FD_YAW
AMP_SH_SY_R965_06171637,AMP_SH_SY_06172058,AMP_SH_SY_06172058,same_parent,FD_ROLL,OBJECTIVE_REVIEW_PASS,FD_ROLL,,,all target DOFs improved: FD_ROLL
AMP_SH_SY_R965_H058_07031325,AMP_SH_SY_R965_06171637,AMP_SH_SY_R965_06171637,same_parent,FD_HEAVE,OBJECTIVE_REVIEW_PASS,FD_HEAVE,,,all target DOFs improved: FD_HEAVE
AMP_SH_SY_R965_H058_SWTTD_N2_07040340,AMP_SH_SY_R965_H058_07031325,AMP_SH_SY_R965_H058_07031325,same_parent,FD_SWAY,OBJECTIVE_REVIEW_PASS,FD_SWAY,,,all target DOFs improved: FD_SWAY
AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,AMP_SH_SY_R965_H058_SWTTD_N2_07040340,AMP_SH_SY_R965_H058_SWTTD_N2_07040340,same_parent,FD_HEAVE,OBJECTIVE_REVIEW_PASS,FD_HEAVE,,,all target DOFs improved: FD_HEAVE
AMP_SH_H054_SWTTD_SG1019_07040711,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
YAW_IC_Y15056_07040941,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,same_parent,FD_YAW,OBJECTIVE_REVIEW_PASS,FD_YAW,,,all target DOFs improved: FD_YAW
YAW_IC_Y15052_07040949,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,same_parent,FD_YAW,OBJECTIVE_REVIEW_PASS,FD_YAW,,,all target DOFs improved: FD_YAW
AMP_SH_H054_SWTTD_Y15052_07041000,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,same_parent,FD_YAW,OBJECTIVE_REVIEW_PASS,FD_YAW,,,all target DOFs improved: FD_YAW
BQIC_ROLL_0704103753_F090_I100,AMP_SH_H054_SWTTD_Y15052_07041000,AMP_SH_H054_SWTTD_Y15052_07041000,same_parent,FD_ROLL,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_ROLL,,regressed/mixed: FD_ROLL
ROLL_BQ873_07041043,AMP_SH_H054_SWTTD_Y15052_07041000,AMP_SH_H054_SWTTD_Y15052_07041000,same_parent,FD_ROLL,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_ROLL,,regressed/mixed: FD_ROLL
ROLL_BQ8715_07041049,AMP_SH_H054_SWTTD_Y15052_07041000,AMP_SH_H054_SWTTD_Y15052_07041000,same_parent,FD_ROLL,OBJECTIVE_REVIEW_PASS,FD_ROLL,,,all target DOFs improved: FD_ROLL
AMP_SH_H054_SWTTD_Y15052_R8715_07041055,AMP_SH_H054_SWTTD_Y15052_07041000,AMP_SH_H054_SWTTD_Y15052_07041000,same_parent,FD_ROLL,OBJECTIVE_REVIEW_PASS,FD_ROLL,,,all target DOFs improved: FD_ROLL
HEAVE_AF0_N2M_07041115,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_H054_SWTTD_Y15052_R8715_07041055,cross_parent_blocked,FD_HEAVE,HOLD_LINEAGE_MISMATCH,,,,baseline AMP_SH_HAF15_Y15052_R8715_07041136 does not match candidate parent AMP_SH_H054_SWTTD_Y15052_R8715_07041055
HEAVE_AF0_N15M_07041128,AMP_SH_H054_SWTTD_Y15052_R8715_07041055,AMP_SH_H054_SWTTD_Y15052_R8715_07041055,same_parent,FD_HEAVE,OBJECTIVE_REVIEW_PASS,FD_HEAVE,,,all target DOFs improved: FD_HEAVE
